Timestamp,Mass,PastConsumption
21/10/2017 02:00:00,8126.41,0.00
21/10/2017 03:00:00,8126.41,2.07
21/10/2017 04:00:00,8124.34,0.00
21/10/2017 05:00:00,8124.34,0.00
21/10/2017 06:00:00,8124.34,10.34
21/10/2017 07:00:00,8114.01,0.00
21/10/2017 08:00:00,8114.01,0.00
21/10/2017 09:00:00,8114.01,27.90
21/10/2017 10:00:00,8086.10,24.80
21/10/2017 11:00:00,8061.30,0.00
21/10/2017 12:00:00,8061.30,0.00
21/10/2017 13:00:00,8061.30,5.17
21/10/2017 14:00:00,8056.13,0.00
21/10/2017 15:00:00,8056.13,7.23
21/10/2017 16:00:00,8048.90,0.00
21/10/2017 17:00:00,8048.90,0.00
21/10/2017 18:00:00,8048.90,3.10
21/10/2017 19:00:00,8045.80,2.07
21/10/2017 20:00:00,8043.73,0.00
21/10/2017 21:00:00,8043.73,3.10
21/10/2017 22:00:00,8040.63,5.17
21/10/2017 23:00:00,8035.46,0.00
22/10/2017 00:00:00,8035.46,0.00
22/10/2017 01:00:00,8035.46,2.07
22/10/2017 02:00:00,8033.40,3.10
22/10/2017 03:00:00,8030.30,0.00
22/10/2017 04:00:00,8030.30,0.52
22/10/2017 05:00:00,8029.78,0.52
22/10/2017 06:00:00,8029.26,0.00
22/10/2017 07:00:00,8029.26,6.20
22/10/2017 08:00:00,8023.06,2.07
22/10/2017 09:00:00,8020.99,3.10
22/10/2017 10:00:00,8017.89,0.00
22/10/2017 11:00:00,8017.89,0.00
22/10/2017 12:00:00,8017.89,0.00
22/10/2017 13:00:00,8017.89,0.00
22/10/2017 14:00:00,8017.89,2.07
22/10/2017 15:00:00,8015.83,3.10
22/10/2017 16:00:00,8012.73,1.03
22/10/2017 17:00:00,8011.69,1.03
22/10/2017 18:00:00,8010.66,0.00
22/10/2017 19:00:00,8010.66,0.00
22/10/2017 20:00:00,8010.66,0.00
22/10/2017 21:00:00,8010.66,3.10
22/10/2017 22:00:00,8007.56,4.13
22/10/2017 23:00:00,8003.42,0.00
23/10/2017 00:00:00,8003.42,0.00
23/10/2017 01:00:00,8003.42,3.10
23/10/2017 02:00:00,8000.32,0.00
23/10/2017 03:00:00,8000.32,0.00
23/10/2017 04:00:00,8000.32,0.00
23/10/2017 05:00:00,8000.32,0.00
23/10/2017 06:00:00,8000.32,0.00
23/10/2017 07:00:00,8000.32,0.00
23/10/2017 08:00:00,8000.32,0.00
23/10/2017 09:00:00,8000.32,0.00
23/10/2017 10:00:00,8000.32,0.00
23/10/2017 11:00:00,8000.32,10.34
23/10/2017 12:00:00,7989.99,7.23
23/10/2017 13:00:00,7982.75,40.31
23/10/2017 14:00:00,7942.45,15.50
23/10/2017 15:00:00,7926.95,0.00
23/10/2017 16:00:00,7926.95,0.00
23/10/2017 17:00:00,7926.95,0.00
23/10/2017 18:00:00,7926.95,29.97
23/10/2017 19:00:00,7896.97,1.03
23/10/2017 20:00:00,7895.94,1.03
23/10/2017 21:00:00,7894.91,0.00
23/10/2017 22:00:00,7894.91,0.00
23/10/2017 23:00:00,7894.91,0.00
24/10/2017 00:00:00,7894.91,0.00
24/10/2017 01:00:00,7894.91,3.10
24/10/2017 02:00:00,7891.81,2.07
24/10/2017 03:00:00,7889.74,0.00
24/10/2017 04:00:00,7889.74,1.55
24/10/2017 05:00:00,7888.19,1.55
24/10/2017 06:00:00,7886.64,37.21
24/10/2017 07:00:00,7849.43,20.67
24/10/2017 08:00:00,7828.76,12.40
24/10/2017 09:00:00,7816.36,12.40
24/10/2017 10:00:00,7803.96,13.44
24/10/2017 11:00:00,7790.52,1.03
24/10/2017 12:00:00,7789.49,1.03
24/10/2017 13:00:00,7788.46,27.90
24/10/2017 14:00:00,7760.55,12.40
24/10/2017 15:00:00,7748.15,0.00
24/10/2017 16:00:00,7748.15,0.00
24/10/2017 17:00:00,7748.15,0.00
24/10/2017 18:00:00,7748.15,5.17
24/10/2017 19:00:00,7742.98,0.00
24/10/2017 20:00:00,7742.98,0.00
24/10/2017 21:00:00,7742.98,7.23
24/10/2017 22:00:00,7735.75,0.00
24/10/2017 23:00:00,7735.75,0.00
25/10/2017 00:00:00,7735.75,5.17
25/10/2017 01:00:00,7730.58,0.00
25/10/2017 02:00:00,7730.58,0.00
25/10/2017 03:00:00,7730.58,3.10
25/10/2017 04:00:00,7727.48,0.00
25/10/2017 05:00:00,7727.48,7.23
