Timestamp,Mass,PastConsumption
2017-10-28 08:00:00,20148.136,7.232
2017-10-28 09:00:00,20140.904,3.926
2017-10-28 10:00:00,20136.979,2.789
2017-10-28 11:00:00,20134.189,2.789
2017-10-28 12:00:00,20131.400,0.207
2017-10-28 13:00:00,20131.193,8.471
2017-10-28 14:00:00,20122.722,0.000
2017-10-28 15:00:00,20122.722,0.000
2017-10-28 16:00:00,20122.722,0.000
2017-10-28 17:00:00,20122.722,3.926
2017-10-28 18:00:00,20118.796,10.744
2017-10-28 19:00:00,20108.052,0.000
2017-10-28 20:00:00,20108.052,10.124
2017-10-28 21:00:00,20097.927,0.000
2017-10-28 22:00:00,20097.927,1.653
2017-10-28 23:00:00,20096.274,1.033
2017-10-29 00:00:00,20095.241,2.893
2017-10-29 01:00:00,20092.349,2.893
2017-10-29 02:00:00,20089.456,1.653
2017-10-29 03:00:00,20087.803,2.066
2017-10-29 04:00:00,20085.737,0.000
2017-10-29 05:00:00,20085.737,0.000
2017-10-29 06:00:00,20085.737,0.000
2017-10-29 07:00:00,20085.737,0.000
2017-10-29 08:00:00,20085.737,0.000
2017-10-29 09:00:00,20085.737,0.000
2017-10-29 10:00:00,20085.737,0.000
2017-10-29 11:00:00,20085.737,0.000
2017-10-29 12:00:00,20085.737,0.000
2017-10-29 13:00:00,20085.737,0.000
2017-10-29 14:00:00,20085.737,1.446
2017-10-29 15:00:00,20084.290,0.000
2017-10-29 16:00:00,20084.290,1.446
2017-10-29 17:00:00,20082.844,6.818
2017-10-29 18:00:00,20076.026,3.719
2017-10-29 19:00:00,20072.307,6.199
2017-10-29 20:00:00,20066.108,1.240
2017-10-29 21:00:00,20064.868,3.719
2017-10-29 22:00:00,20061.149,3.099
2017-10-29 23:00:00,20058.050,3.926
2017-10-30 00:00:00,20054.124,4.132
2017-10-30 01:00:00,20049.992,5.166
2017-10-30 02:00:00,20044.826,3.719
2017-10-30 03:00:00,20041.107,8.678
2017-10-30 04:00:00,20032.429,0.517
2017-10-30 05:00:00,20031.912,0.155
2017-10-30 06:00:00,20031.757,0.155
2017-10-30 07:00:00,20031.602,22.522
2017-10-30 08:00:00,20009.081,0.000
2017-10-30 09:00:00,20009.081,0.000
2017-10-30 10:00:00,20009.081,8.471
2017-10-30 11:00:00,20000.609,0.103
2017-10-30 12:00:00,20000.506,0.103
2017-10-30 13:00:00,20000.403,0.000
2017-10-30 14:00:00,20000.403,0.000
2017-10-30 15:00:00,20000.403,0.000
2017-10-30 16:00:00,20000.403,4.132
2017-10-30 17:00:00,19996.270,18.596
2017-10-30 18:00:00,19977.675,3.099
2017-10-30 19:00:00,19974.575,5.785
2017-10-30 20:00:00,19968.790,8.678
2017-10-30 21:00:00,19960.112,4.959
