Timestamp,Mass,PastConsumption
2017-10-28 08:00:00,555.258,3.003
2017-10-28 09:00:00,552.255,4.539
2017-10-28 10:00:00,547.716,3.797
2017-10-28 11:00:00,543.919,3.204
2017-10-28 12:00:00,540.715,3.219
2017-10-28 13:00:00,537.497,3.204
2017-10-28 14:00:00,534.293,5.132
2017-10-28 15:00:00,529.161,4.479
2017-10-28 16:00:00,524.682,2.833
2017-10-28 17:00:00,521.849,5.147
2017-10-28 18:00:00,516.702,4.101
2017-10-28 19:00:00,512.601,4.509
2017-10-28 20:00:00,508.092,2.544
2017-10-28 21:00:00,505.549,4.235
2017-10-28 22:00:00,501.314,4.309
2017-10-28 23:00:00,497.005,4.487
2017-10-29 00:00:00,492.519,1.261
2017-10-29 01:00:00,491.258,1.261
2017-10-29 02:00:00,489.997,5.555
2017-10-29 03:00:00,484.443,4.272
2017-10-29 04:00:00,480.171,7.401
2017-10-29 05:00:00,472.770,3.078
2017-10-29 06:00:00,469.692,4.190
2017-10-29 07:00:00,465.502,4.576
2017-10-29 08:00:00,460.927,3.790
2017-10-29 09:00:00,457.137,4.257
2017-10-29 10:00:00,452.880,3.241
2017-10-29 11:00:00,449.639,3.560
2017-10-29 12:00:00,446.080,5.028
2017-10-29 13:00:00,441.052,4.049
2017-10-29 14:00:00,437.003,4.042
2017-10-29 15:00:00,432.961,3.033
2017-10-29 16:00:00,429.928,5.154
2017-10-29 17:00:00,424.774,3.211
2017-10-29 18:00:00,421.563,5.184
2017-10-29 19:00:00,416.379,4.027
2017-10-29 20:00:00,412.352,3.582
2017-10-29 21:00:00,408.770,3.078
2017-10-29 22:00:00,405.692,5.191
2017-10-29 23:00:00,400.501,3.634
2017-10-30 00:00:00,396.867,4.205
2017-10-30 01:00:00,392.662,3.537
2017-10-30 02:00:00,389.125,4.739
2017-10-30 03:00:00,384.386,3.597
2017-10-30 04:00:00,380.789,4.895
2017-10-30 05:00:00,375.895,3.582
2017-10-30 06:00:00,372.313,3.619
2017-10-30 07:00:00,368.694,5.384
2017-10-30 08:00:00,363.310,6.815
2017-10-30 09:00:00,356.495,7.008
2017-10-30 10:00:00,349.486,6.993
2017-10-30 11:00:00,342.493,3.975
2017-10-30 12:00:00,338.518,8.091
2017-10-30 13:00:00,330.427,5.881
2017-10-30 14:00:00,324.546,8.425
2017-10-30 15:00:00,316.122,6.904
2017-10-30 16:00:00,309.218,7.312
2017-10-30 17:00:00,301.905,7.090
2017-10-30 18:00:00,294.816,6.556
2017-10-30 19:00:00,288.260,5.369
2017-10-30 20:00:00,282.891,7.972
2017-10-30 21:00:00,274.919,6.711
2017-10-30 22:00:00,268.207,6.971
2017-10-30 23:00:00,261.236,7.438
2017-10-31 00:00:00,253.798,6.867
2017-10-31 01:00:00,246.931,6.838
2017-10-31 02:00:00,240.093,5.888
2017-10-31 03:00:00,234.205,7.542
2017-10-31 04:00:00,226.663,7.060
2017-10-31 05:00:00,219.603,7.334
2017-10-31 06:00:00,212.268,6.489
2017-10-31 07:00:00,205.779,0.000
2017-10-31 08:00:00,199.876,4.312
2017-10-31 08:40:00,741.600,4.312
2017-10-31 09:00:00,731.477,6.066
2017-10-31 10:00:00,725.411,4.694
2017-10-31 11:00:00,720.717,5.518
2017-10-31 12:00:00,715.199,4.561
2017-10-31 13:00:00,710.638,4.249
2017-10-31 14:00:00,706.389,4.005
2017-10-31 15:00:00,702.384,3.856
2017-10-31 16:00:00,698.528,3.965
2017-10-31 17:00:00,694.563,3.191
2017-10-31 18:00:00,691.371,3.708
2017-10-31 19:00:00,687.663,3.968
2017-10-31 20:00:00,683.696,4.175
2017-10-31 21:00:00,679.521,3.241
2017-10-31 22:00:00,676.280,3.886
